# PLGA Optimization Results
# Drug: xanthone
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:58:16
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10,4.0,0.2,198.6,44.1,7.2,60.29
150,4.0,0.2,198.6,44.1,7.2,60.29
30,3.0,0.25,198.7,43.2,8.2,60.26
75,3.0,0.25,198.7,43.2,8.2,60.26
10,3.0,0.25,198.7,43.2,8.2,60.26
50,3.0,0.25,198.7,43.2,8.2,60.26
100,3.0,0.25,198.7,43.2,8.2,60.26
150,3.0,0.25,198.7,43.2,8.2,60.26
20,3.0,0.25,198.7,43.2,8.2,60.26
100,4.0,0.1,199.0,43.9,5.8,60.19
75,4.0,0.1,199.0,43.9,5.8,60.19
50,4.0,0.1,199.0,43.9,5.8,60.19
30,4.0,0.1,199.0,43.9,5.8,60.19
20,4.0,0.1,199.0,43.9,5.8,60.19
150,4.0,0.1,199.0,43.9,5.8,60.19
10,4.0,0.1,199.0,43.9,5.8,60.19
50,3.0,0.35,200.0,43.5,9.4,60.0
30,3.0,0.35,200.0,43.5,9.4,60.0
10,3.0,0.35,200.0,43.5,9.4,60.0
20,3.0,0.35,200.0,43.5,9.4,60.0
150,3.0,0.35,200.0,43.5,9.4,60.0
100,3.0,0.35,200.0,43.5,9.4,60.0
75,3.0,0.35,200.0,43.5,9.4,60.0
10,3.0,0.4,200.4,43.3,9.9,59.92
150,3.0,0.4,200.4,43.3,9.9,59.92
75,3.0,0.4,200.4,43.3,9.9,59.92
50,3.0,0.4,200.4,43.3,9.9,59.92
100,3.0,0.4,200.4,43.3,9.9,59.92
20,3.0,0.4,200.4,43.3,9.9,59.92
30,3.0,0.4,200.4,43.3,9.9,59.92
75,3.0,0.2,201.5,43.7,7.2,59.69
50,3.0,0.2,201.5,43.7,7.2,59.69
100,3.0,0.2,201.5,43.7,7.2,59.69
150,3.0,0.2,201.5,43.7,7.2,59.69
20,3.0,0.2,201.5,43.7,7.2,59.69
10,3.0,0.2,201.5,43.7,7.2,59.69
30,3.0,0.2,201.5,43.7,7.2,59.69
100,3.0,0.1,201.9,43.5,5.8,59.63
150,3.0,0.1,201.9,43.5,5.8,59.63
50,3.0,0.1,201.9,43.5,5.8,59.63
30,3.0,0.1,201.9,43.5,5.8,59.63
10,3.0,0.1,201.9,43.5,5.8,59.63
75,3.0,0.1,201.9,43.5,5.8,59.63
20,3.0,0.1,201.9,43.5,5.8,59.63
30,4.0,0.05,209.8,43.1,4.5,58.03
75,4.0,0.05,209.8,43.1,4.5,58.03
150,4.0,0.05,209.8,43.1,4.5,58.03
50,4.0,0.05,209.8,43.1,4.5,58.03
100,4.0,0.05,209.8,43.1,4.5,58.03
20,4.0,0.05,209.8,43.1,4.5,58.03
10,4.0,0.05,209.8,43.1,4.5,58.03
100,3.0,0.05,211.9,42.7,4.6,57.62
30,3.0,0.05,211.9,42.7,4.6,57.62
50,3.0,0.05,211.9,42.7,4.6,57.62
75,3.0,0.05,211.9,42.7,4.6,57.62
10,3.0,0.05,211.9,42.7,4.6,57.62
20,3.0,0.05,211.9,42.7,4.6,57.62
150,3.0,0.05,211.9,42.7,4.6,57.62
