# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10000,1.5,0.1,180.9,43.2,5.7,44.23
100000,1.5,0.1,180.9,43.2,5.7,44.23
50000,1.5,0.1,180.9,43.2,5.7,44.23
150000,1.5,0.1,180.9,43.2,5.7,44.23
75000,1.5,0.1,180.9,43.2,5.7,44.23
50000,3.0,0.2,201.5,43.7,7.2,44.22
30000,3.0,0.2,201.5,43.7,7.2,44.22
20000,3.0,0.2,201.5,43.7,7.2,44.22
100000,3.0,0.2,201.5,43.7,7.2,44.22
10000,3.0,0.2,201.5,43.7,7.2,44.22
150000,3.0,0.2,201.5,43.7,7.2,44.22
75000,3.0,0.2,201.5,43.7,7.2,44.22
75000,0.5,0.1,178.9,43.1,5.3,43.9
10000,0.5,0.1,178.9,43.1,5.3,43.9
150000,0.5,0.1,178.9,43.1,5.3,43.9
50000,0.5,0.1,178.9,43.1,5.3,43.9
20000,0.5,0.1,178.9,43.1,5.3,43.9
100000,0.5,0.1,178.9,43.1,5.3,43.9
30000,0.5,0.1,178.9,43.1,5.3,43.9
20000,2.0,0.1,183.4,42.5,5.8,43.87
50000,2.0,0.1,183.4,42.5,5.8,43.87
150000,2.0,0.1,183.4,42.5,5.8,43.87
75000,2.0,0.1,183.4,42.5,5.8,43.87
100000,2.0,0.1,183.4,42.5,5.8,43.87
10000,2.0,0.1,183.4,42.5,5.8,43.87
30000,2.0,0.1,183.4,42.5,5.8,43.87
30000,1.0,0.1,178.1,43.2,5.1,43.83
10000,1.0,0.1,178.1,43.2,5.1,43.83
20000,1.0,0.1,178.1,43.2,5.1,43.83
75000,1.0,0.1,178.1,43.2,5.1,43.83
100000,1.0,0.1,178.1,43.2,5.1,43.83
50000,1.0,0.1,178.1,43.2,5.1,43.83
150000,1.0,0.1,178.1,43.2,5.1,43.83
50000,2.5,0.1,186.1,42.9,5.8,43.75
10000,0.75,0.1,178.2,42.7,5.2,43.75
150000,2.5,0.1,186.1,42.9,5.8,43.75
30000,0.75,0.1,178.2,42.7,5.2,43.75
50000,0.75,0.1,178.2,42.7,5.2,43.75
150000,0.75,0.1,178.2,42.7,5.2,43.75
100000,2.5,0.1,186.1,42.9,5.8,43.75
10000,2.5,0.1,186.1,42.9,5.8,43.75
30000,2.5,0.1,186.1,42.9,5.8,43.75
75000,0.75,0.1,178.2,42.7,5.2,43.75
20000,0.75,0.1,178.2,42.7,5.2,43.75
20000,2.5,0.1,186.1,42.9,5.8,43.75
100000,0.75,0.1,178.2,42.7,5.2,43.75
75000,2.5,0.1,186.1,42.9,5.8,43.75
20000,4.0,0.1,199.0,43.9,5.8,43.07
75000,4.0,0.1,199.0,43.9,5.8,43.07
50000,4.0,0.1,199.0,43.9,5.8,43.07
10000,4.0,0.1,199.0,43.9,5.8,43.07
100000,4.0,0.1,199.0,43.9,5.8,43.07
30000,4.0,0.1,199.0,43.9,5.8,43.07
150000,4.0,0.1,199.0,43.9,5.8,43.07
10000,3.0,0.1,201.9,43.5,5.8,42.73
100000,3.0,0.1,201.9,43.5,5.8,42.73
75000,3.0,0.1,201.9,43.5,5.8,42.73
30000,3.0,0.1,201.9,43.5,5.8,42.73
50000,3.0,0.1,201.9,43.5,5.8,42.73
20000,3.0,0.1,201.9,43.5,5.8,42.73
150000,3.0,0.1,201.9,43.5,5.8,42.73
50000,1.5,0.05,183.0,42.8,4.4,42.62
10000,1.5,0.05,183.0,42.8,4.4,42.62
100000,1.5,0.05,183.0,42.8,4.4,42.62
150000,1.5,0.05,183.0,42.8,4.4,42.62
75000,1.5,0.05,183.0,42.8,4.4,42.62
30000,1.5,0.05,183.0,42.8,4.4,42.62
20000,1.5,0.05,183.0,42.8,4.4,42.62
150000,2.0,0.05,186.6,42.1,4.5,42.19
50000,2.0,0.05,186.6,42.1,4.5,42.19
10000,2.0,0.05,186.6,42.1,4.5,42.19
100000,2.0,0.05,186.6,42.1,4.5,42.19
20000,2.0,0.05,186.6,42.1,4.5,42.19
30000,2.0,0.05,186.6,42.1,4.5,42.19
75000,2.0,0.05,186.6,42.1,4.5,42.19
150000,1.0,0.05,180.2,42.5,3.8,42.14
10000,1.0,0.05,180.2,42.5,3.8,42.14
20000,1.0,0.05,180.2,42.5,3.8,42.14
100000,1.0,0.05,180.2,42.5,3.8,42.14
30000,1.0,0.05,180.2,42.5,3.8,42.14
75000,1.0,0.05,180.2,42.5,3.8,42.14
50000,1.0,0.05,180.2,42.5,3.8,42.14
75000,0.5,0.05,181.3,42.2,4.0,42.13
20000,0.5,0.05,181.3,42.2,4.0,42.13
