# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
30,2.5,0.1,226.2,70.1,8.0,54.75
50,2.5,0.1,226.2,70.1,8.0,54.75
100,2.5,0.1,226.2,70.1,8.0,54.75
150,1.0,0.05,232.3,70.3,6.2,53.54
30,1.0,0.05,232.3,70.3,6.2,53.54
20,1.0,0.05,232.3,70.3,6.2,53.54
75,1.0,0.05,232.3,70.3,6.2,53.54
50,1.0,0.05,232.3,70.3,6.2,53.54
10,1.0,0.05,232.3,70.3,6.2,53.54
100,1.0,0.05,232.3,70.3,6.2,53.54
100,0.75,0.05,233.6,70.0,5.9,53.28
50,0.75,0.05,233.6,70.0,5.9,53.28
150,0.75,0.05,233.6,70.0,5.9,53.28
30,0.75,0.05,233.6,70.0,5.9,53.28
20,0.75,0.05,233.6,70.0,5.9,53.28
10,0.75,0.05,233.6,70.0,5.9,53.28
75,0.75,0.05,233.6,70.0,5.9,53.28
10,3.0,0.3,236.7,69.6,12.0,52.67
150,3.0,0.3,236.7,69.6,12.0,52.67
100,3.0,0.3,236.7,69.6,12.0,52.67
50,3.0,0.3,236.7,69.6,12.0,52.67
30,3.0,0.3,236.7,69.6,12.0,52.67
75,3.0,0.3,236.7,69.6,12.0,52.67
20,3.0,0.3,236.7,69.6,12.0,52.67
75,3.0,0.35,236.8,69.9,12.8,52.65
100,3.0,0.35,236.8,69.9,12.8,52.65
20,3.0,0.35,236.8,69.9,12.8,52.65
150,3.0,0.35,236.8,69.9,12.8,52.65
10,3.0,0.35,236.8,69.9,12.8,52.65
30,3.0,0.35,236.8,69.9,12.8,52.65
50,3.0,0.35,236.8,69.9,12.8,52.65
20,3.0,0.25,236.8,69.5,11.2,52.64
75,3.0,0.25,236.8,69.5,11.2,52.64
100,3.0,0.25,236.8,69.5,11.2,52.64
50,3.0,0.25,236.8,69.5,11.2,52.64
10,3.0,0.25,236.8,69.5,11.2,52.64
30,3.0,0.25,236.8,69.5,11.2,52.64
150,3.0,0.25,236.8,69.5,11.2,52.64
30,3.0,0.4,237.0,69.5,13.2,52.61
100,3.0,0.4,237.0,69.5,13.2,52.61
50,3.0,0.4,237.0,69.5,13.2,52.61
75,3.0,0.4,237.0,69.5,13.2,52.61
10,3.0,0.4,237.0,69.5,13.2,52.61
150,3.0,0.4,237.0,69.5,13.2,52.61
20,3.0,0.4,237.0,69.5,13.2,52.61
50,3.0,0.15,237.4,70.3,9.0,52.51
75,3.0,0.15,237.4,70.3,9.0,52.51
20,3.0,0.15,237.4,70.3,9.0,52.51
150,3.0,0.15,237.4,70.3,9.0,52.51
100,3.0,0.15,237.4,70.3,9.0,52.51
30,3.0,0.15,237.4,70.3,9.0,52.51
10,3.0,0.15,237.4,70.3,9.0,52.51
100,4.0,0.3,237.8,69.6,12.5,52.45
20,4.0,0.3,237.8,69.6,12.5,52.45
50,4.0,0.3,237.8,69.6,12.5,52.45
150,4.0,0.3,237.8,69.6,12.5,52.45
10,4.0,0.3,237.8,69.6,12.5,52.45
30,4.0,0.3,237.8,69.6,12.5,52.45
75,4.0,0.3,237.8,69.6,12.5,52.45
20,4.0,0.35,237.9,70.0,13.2,52.43
30,4.0,0.35,237.9,70.0,13.2,52.43
75,4.0,0.35,237.9,70.0,13.2,52.43
100,4.0,0.35,237.9,70.0,13.2,52.43
150,4.0,0.35,237.9,70.0,13.2,52.43
10,4.0,0.35,237.9,70.0,13.2,52.43
50,4.0,0.35,237.9,70.0,13.2,52.43
20,4.0,0.25,237.9,69.6,11.6,52.42
50,4.0,0.25,237.9,69.6,11.6,52.42
30,4.0,0.25,237.9,69.6,11.6,52.42
10,4.0,0.25,237.9,69.6,11.6,52.42
100,4.0,0.25,237.9,69.6,11.6,52.42
150,4.0,0.25,237.9,69.6,11.6,52.42
75,4.0,0.25,237.9,69.6,11.6,52.42
100,4.0,0.4,238.1,69.5,13.6,52.39
150,3.0,0.2,238.1,69.4,9.5,52.39
150,4.0,0.4,238.1,69.5,13.6,52.39
100,3.0,0.2,238.1,69.4,9.5,52.39
75,4.0,0.4,238.1,69.5,13.6,52.39
10,3.0,0.2,238.1,69.4,9.5,52.39
10,4.0,0.4,238.1,69.5,13.6,52.39
20,3.0,0.2,238.1,69.4,9.5,52.39
20,4.0,0.4,238.1,69.5,13.6,52.39
30,4.0,0.4,238.1,69.5,13.6,52.39
50,3.0,0.2,238.1,69.4,9.5,52.39
50,4.0,0.4,238.1,69.5,13.6,52.39
75,3.0,0.2,238.1,69.4,9.5,52.39
30,3.0,0.2,238.1,69.4,9.5,52.39
150,3.0,0.1,238.3,70.1,8.0,52.34
20,3.0,0.1,238.3,70.1,8.0,52.34
50,3.0,0.1,238.3,70.1,8.0,52.34
10,3.0,0.1,238.3,70.1,8.0,52.34
100,3.0,0.1,238.3,70.1,8.0,52.34
30,3.0,0.1,238.3,70.1,8.0,52.34
75,3.0,0.1,238.3,70.1,8.0,52.34
75,4.0,0.15,238.5,70.3,9.4,52.29
150,4.0,0.15,238.5,70.3,9.4,52.29
100,4.0,0.15,238.5,70.3,9.4,52.29
30,4.0,0.15,238.5,70.3,9.4,52.29
50,4.0,0.15,238.5,70.3,9.4,52.29
