# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
75000,4.0,0.25,177.6,31.3,9.2,64.48
150000,4.0,0.25,177.6,31.3,9.2,64.48
50000,4.0,0.25,177.6,31.3,9.2,64.48
100000,4.0,0.25,177.6,31.3,9.2,64.48
75000,4.0,0.35,178.2,31.5,10.4,64.37
10000,4.0,0.35,178.2,31.5,10.4,64.37
10000,4.0,0.4,178.2,31.3,11.0,64.37
75000,4.0,0.4,178.2,31.3,11.0,64.37
150000,4.0,0.4,178.2,31.3,11.0,64.37
150000,4.0,0.35,178.2,31.5,10.4,64.37
20000,4.0,0.4,178.2,31.3,11.0,64.37
50000,4.0,0.4,178.2,31.3,11.0,64.37
100000,4.0,0.4,178.2,31.3,11.0,64.37
100000,4.0,0.35,178.2,31.5,10.4,64.37
50000,4.0,0.35,178.2,31.5,10.4,64.37
20000,4.0,0.35,178.2,31.5,10.4,64.37
30000,4.0,0.35,178.2,31.5,10.4,64.37
30000,4.0,0.4,178.2,31.3,11.0,64.37
30000,4.0,0.3,178.4,31.3,10.1,64.31
10000,3.0,0.05,178.5,30.8,4.8,64.31
30000,3.0,0.05,178.5,30.8,4.8,64.31
50000,3.0,0.05,178.5,30.8,4.8,64.31
150000,4.0,0.3,178.4,31.3,10.1,64.31
100000,3.0,0.05,178.5,30.8,4.8,64.31
10000,4.0,0.3,178.4,31.3,10.1,64.31
75000,3.0,0.05,178.5,30.8,4.8,64.31
50000,4.0,0.3,178.4,31.3,10.1,64.31
100000,4.0,0.3,178.4,31.3,10.1,64.31
75000,4.0,0.3,178.4,31.3,10.1,64.31
20000,3.0,0.05,178.5,30.8,4.8,64.31
150000,3.0,0.05,178.5,30.8,4.8,64.31
20000,4.0,0.3,178.4,31.3,10.1,64.31
30000,0.5,0.15,179.0,38.4,9.3,64.2
10000,0.5,0.15,179.0,38.4,9.3,64.2
50000,1.0,0.15,179.0,38.7,9.3,64.2
50000,0.5,0.15,179.0,38.4,9.3,64.2
20000,1.0,0.15,179.0,38.7,9.3,64.2
100000,1.0,0.15,179.0,38.7,9.3,64.2
100000,0.5,0.15,179.0,38.4,9.3,64.2
150000,1.0,0.15,179.0,38.7,9.3,64.2
30000,1.0,0.15,179.0,38.7,9.3,64.2
75000,0.5,0.15,179.0,38.4,9.3,64.2
10000,1.0,0.15,179.0,38.7,9.3,64.2
20000,0.5,0.15,179.0,38.4,9.3,64.2
150000,0.5,0.15,179.0,38.4,9.3,64.2
75000,1.0,0.15,179.0,38.7,9.3,64.2
10000,0.75,0.15,179.1,38.8,9.3,64.19
150000,0.75,0.15,179.1,38.8,9.3,64.19
50000,0.75,0.15,179.1,38.8,9.3,64.19
30000,0.75,0.15,179.1,38.8,9.3,64.19
75000,0.75,0.15,179.1,38.8,9.3,64.19
100000,0.75,0.15,179.1,38.8,9.3,64.19
20000,0.75,0.15,179.1,38.8,9.3,64.19
30000,2.5,0.05,179.8,30.8,4.9,64.04
150000,2.5,0.05,179.8,30.8,4.9,64.04
20000,2.5,0.05,179.8,30.8,4.9,64.04
75000,2.5,0.05,179.8,30.8,4.9,64.04
50000,2.5,0.05,179.8,30.8,4.9,64.04
10000,2.5,0.05,179.8,30.8,4.9,64.04
100000,2.5,0.05,179.8,30.8,4.9,64.04
30000,1.5,0.15,180.5,37.0,9.3,63.91
75000,1.5,0.15,180.5,37.0,9.3,63.91
10000,1.5,0.15,180.5,37.0,9.3,63.91
20000,1.5,0.15,180.5,37.0,9.3,63.91
150000,1.5,0.15,180.5,37.0,9.3,63.91
100000,1.5,0.15,180.5,37.0,9.3,63.91
50000,1.5,0.15,180.5,37.0,9.3,63.91
10000,2.0,0.1,181.2,34.8,6.8,63.75
50000,2.0,0.1,181.2,34.8,6.8,63.75
100000,2.0,0.1,181.2,34.8,6.8,63.75
75000,2.0,0.1,181.2,34.8,6.8,63.75
30000,2.0,0.1,181.2,34.8,6.8,63.75
20000,2.0,0.1,181.2,34.8,6.8,63.75
150000,2.0,0.1,181.2,34.8,6.8,63.75
10000,4.0,0.1,182.3,34.9,6.5,63.54
30000,4.0,0.1,182.3,34.9,6.5,63.54
75000,4.0,0.1,182.3,34.9,6.5,63.54
20000,4.0,0.1,182.3,34.9,6.5,63.54
100000,4.0,0.1,182.3,34.9,6.5,63.54
150000,4.0,0.1,182.3,34.9,6.5,63.54
50000,4.0,0.1,182.3,34.9,6.5,63.54
